VaccinationDate,age_group,first_dose,second_dose
2021-02-02,80-89,909,1438
2021-02-03,50-59,5869,21065
2021-02-03,20-29,15078,3925
2021-02-03,80-89,897,1678
2021-02-03,0-19,5621,472
2021-02-03,90+,248,322
2021-02-03,30-39,16862,5021
2021-02-03,60-69,2699,7118
2021-02-03,70-79,1600,3580
2021-02-03,40-49,11103,7912
2021-02-04,20-29,22382,6326
2021-02-04,60-69,2369,6049
2021-02-04,70-79,1205,2855
2021-02-04,30-39,23474,7184
2021-02-04,40-49,10879,10139
2021-02-04,50-59,5433,22603
2021-02-04,0-19,5702,1050
2021-02-04,80-89,666,1310
2021-02-04,90+,155,255
2021-02-05,40-49,5414,5449
2021-02-05,50-59,2762,11373
2021-02-05,60-69,1136,2809
2021-02-05,90+,79,120
2021-02-05,70-79,551,1287
2021-02-05,30-39,11372,4038
2021-02-05,80-89,249,586
2021-02-05,0-19,2512,457
2021-02-05,20-29,9649,2488
2021-02-06,0-19,1785,283
2021-02-06,20-29,6784,1494
2021-02-06,80-89,143,269
2021-02-06,70-79,265,653
2021-02-06,90+,35,58
2021-02-06,30-39,7063,2336
2021-02-06,50-59,1674,10163
2021-02-06,60-69,588,1573
2021-02-06,40-49,3166,5273
2021-02-07,20-29,16381,9601
2021-02-07,0-19,4168,1145
2021-02-07,50-59,4542,23714
2021-02-07,40-49,8080,17455
2021-02-07,60-69,2171,5037
2021-02-07,70-79,1145,2540
2021-02-07,30-39,16800,7206
2021-02-07,80-89,581,1191
2021-02-07,90+,172,243
2021-02-08,50-59,4634,17284
2021-02-08,20-29,19500,13000
2021-02-08,0-19,3831,1431
2021-02-08,80-89,578,926
2021-02-08,90+,138,177
2021-02-08,30-39,18482,6757
2021-02-08,40-49,8095,18868
2021-02-08,60-69,2201,4237
2021-02-08,70-79,1149,2104
2021-02-09,80-89,637,865
2021-02-09,20-29,22483,12747
2021-02-09,30-39,19456,8095
2021-02-09,90+,213,194
2021-02-09,0-19,4403,1671
2021-02-09,50-59,5622,14930
2021-02-09,60-69,2637,3980
2021-02-09,70-79,1286,2018
2021-02-09,40-49,9412,22347
2021-02-10,20-29,23639,11188
2021-02-10,0-19,4742,1591
2021-02-10,80-89,586,843
2021-02-10,90+,155,145
2021-02-10,70-79,1345,1877
2021-02-10,60-69,2767,3883
2021-02-10,40-49,10010,27165
2021-02-10,30-39,20986,11123
2021-02-10,50-59,5911,13925
2021-02-11,90+,140,210
2021-02-11,30-39,23528,13157
2021-02-11,50-59,6935,12363
2021-02-11,40-49,12133,26064
2021-02-11,70-79,1450,2150
2021-02-11,60-69,3243,4062
2021-02-11,0-19,5492,1755
2021-02-11,20-29,26784,10501
2021-02-11,80-89,646,1017
2021-02-12,50-59,3542,6154
2021-02-12,80-89,284,484
2021-02-12,20-29,12675,3757
2021-02-12,90+,65,110
2021-02-12,30-39,11358,7558
2021-02-12,70-79,622,962
2021-02-12,40-49,6015,15074
2021-02-12,0-19,2759,1049
2021-02-12,60-69,1509,2188
2021-02-13,80-89,170,286
2021-02-13,40-49,4346,11464
2021-02-13,70-79,396,638
2021-02-13,30-39,7470,4481
2021-02-13,60-69,1050,1371
2021-02-13,90+,29,73
2021-02-13,20-29,8960,2352
2021-02-13,0-19,2232,3954
2021-02-13,50-59,2696,5659
2021-02-14,90+,156,224
2021-02-14,30-39,20154,11022
2021-02-14,70-79,1706,2076
2021-02-14,40-49,11822,21729
2021-02-14,60-69,3642,3788
2021-02-14,80-89,727,960
2021-02-14,20-29,22927,10487
2021-02-14,0-19,6060,8999
2021-02-14,50-59,7073,9407
2021-02-15,50-59,8005,9807
2021-02-15,40-49,12999,20434
2021-02-15,60-69,3959,4144
2021-02-15,80-89,834,1050
2021-02-15,0-19,6681,11174
2021-02-15,20-29,24816,13880
2021-02-15,70-79,1802,2191
2021-02-15,90+,210,294
2021-02-15,30-39,21748,12303
2021-02-16,50-59,7768,8678
2021-02-16,30-39,21701,13395
2021-02-16,70-79,1871,1990
2021-02-16,60-69,3934,3614
2021-02-16,90+,177,245
2021-02-16,40-49,12909,18842
2021-02-16,80-89,782,978
2021-02-16,20-29,26412,16656
2021-02-16,0-19,7542,12667
2021-02-17,60-69,2446,3103
2021-02-17,70-79,1007,1637
2021-02-17,30-39,16047,12540
2021-02-17,40-49,9924,18118
2021-02-17,20-29,20522,16664
2021-02-17,0-19,5574,13241
2021-02-17,50-59,5516,8058
2021-02-17,90+,90,166
2021-02-17,80-89,376,723
2021-02-18,50-59,6478,8209
2021-02-18,60-69,2970,3154
2021-02-18,70-79,1070,1548
2021-02-18,90+,70,148
2021-02-18,40-49,11362,18099
2021-02-18,30-39,18105,18301
2021-02-18,20-29,21722,15920
2021-02-18,80-89,403,651
2021-02-18,0-19,6534,13122
2021-02-19,20-29,12544,6137
2021-02-19,0-19,3798,5951
2021-02-19,80-89,186,266
2021-02-19,40-49,6469,9565
2021-02-19,30-39,10739,10072
2021-02-19,70-79,494,599
2021-02-19,60-69,1540,1389
2021-02-19,90+,29,55
2021-02-19,50-59,3638,3847
2021-02-20,20-29,10192,3974
2021-02-20,0-19,3489,4297
2021-02-20,50-59,3024,3052
2021-02-20,70-79,446,403
2021-02-20,40-49,5258,7869
2021-02-20,30-39,7703,7841
2021-02-20,90+,29,22
2021-02-20,80-89,165,146
2021-02-20,60-69,1179,893
2021-02-21,80-89,785,842
2021-02-21,20-29,23617,14621
2021-02-21,0-19,7693,9220
2021-02-21,90+,177,221
2021-02-21,70-79,1887,1776
2021-02-21,30-39,20850,22111
2021-02-21,50-59,7437,7892
2021-02-21,40-49,12626,18112
2021-02-21,60-69,3921,3337
2021-02-22,20-29,25150,18212
2021-02-22,80-89,910,801
2021-02-22,0-19,7805,8071
2021-02-22,50-59,7807,7419
2021-02-22,30-39,23035,21532
2021-02-22,70-79,2163,1639
2021-02-22,90+,213,206
2021-02-22,40-49,13193,14888
2021-02-22,60-69,4288,3082
2021-02-23,20-29,23838,16530
2021-02-23,0-19,7494,8086
2021-02-23,90+,164,238
2021-02-23,80-89,859,896
2021-02-23,70-79,1897,1719
2021-02-23,40-49,11812,13516
2021-02-23,60-69,3771,2959
2021-02-23,30-39,19957,19190
2021-02-23,50-59,7110,6707
2021-02-24,90+,163,203
2021-02-24,70-79,1623,1608
2021-02-24,30-39,15301,16937
2021-02-24,0-19,6086,6554
2021-02-24,20-29,18729,16371
2021-02-24,80-89,721,838
2021-02-24,40-49,9363,11297
2021-02-24,60-69,2977,2737
2021-02-24,50-59,5590,5951
2021-02-25,70-79,1246,1257
2021-02-25,60-69,2711,2339
2021-02-25,40-49,8377,10553
2021-02-25,20-29,15107,17930
2021-02-25,80-89,624,658
2021-02-25,90+,145,170
2021-02-25,30-39,12932,20713
2021-02-25,50-59,5165,5481
2021-02-25,0-19,4939,5040
2021-02-26,70-79,511,512
2021-02-26,40-49,4133,5302
2021-02-26,60-69,1134,1060
2021-02-26,30-39,6474,10161
2021-02-26,90+,56,70
2021-02-26,80-89,273,238
2021-02-26,20-29,7046,8099
2021-02-26,0-19,2271,2430
2021-02-26,50-59,2531,2666
2021-02-27,90+,<15,17
2021-02-27,40-49,2028,2171
2021-02-27,60-69,543,349
2021-02-27,80-89,95,76
2021-02-27,50-59,1266,1061
2021-02-27,0-19,1608,1282
2021-02-27,20-29,4113,4692
2021-02-27,30-39,2988,5181
2021-02-27,70-79,213,171
